CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
338 255 25 178 57.6973 84.9682 -20.7034
339 255 25 204 58.6071 87.0069 -34.2928
340 255 25 229 59.6117 89.2256 -46.8884
341 255 25 255 60.7873 91.7815 -59.5167
342 255 51 25 56.763 74.2578 63.8775
343 255 51 51 56.902 74.617 52.2979
344 255 51 76 57.1336 75.2131 38.7396
345 255 51 102 57.4892 76.1223 23.9143
346 255 51 127 57.9497 77.2902 9.67838
347 255 51 153 58.5578 78.8156 -4.80967
348 255 51 178 59.2695 80.5781 -18.3281
349 255 51 204 60.1423 82.7076 -31.9219
350 255 51 229 61.1075 85.0239 -44.5426
351 255 51 255 62.2389 87.6907 -57.2129
352 255 76 25 59.4239 67.0731 65.3809
353 255 76 51 59.5533 67.4529 54.655
354 255 76 76 59.769 68.0834 41.7016
355 255 76 102 60.1004 69.0452 27.2662
356 255 76 127 60.5302 70.2805 13.2487
357 255 76 153 61.0984 71.8942 -1.11686
358 255 76 178 61.7645 73.7588 -14.5845
359 255 76 204 62.5831 76.0116 -28.1737
360 255 76 229 63.4903 78.4617 -40.8236
361 255 76 255 64.5563 81.2818 -53.5499
362 255 102 25 63.2044 57.2277 67.6382
363 255 102 51 63.3218 57.6294 57.9628
364 255 102 76 63.5176 58.2964 45.8228
365 255 102 102 63.8187 59.3142 31.946
366 255 102 127 64.2096 60.6222 18.2581
367 255 102 153 64.7274 62.3321 4.09007
368 255 102 178 65.3357 64.3092 -9.28281
369 255 102 204 66.0849 66.6996 -22.8429
370 255 102 229 66.9175 69.3013 -35.5135
371 255 102 255 67.8987 72.2978 -48.2991
372 255 127 25 67.6671 46.1365 70.4446
373 255 127 51 67.7723 46.5548 61.8138
374 255 127 76 67.9479 47.2495 50.565
375 255 127 102 68.2182 48.3106 37.3467
376 255 127 127 68.5696 49.6754 24.0712
377 255 127 153 69.0358 51.4617 10.1674
378 255 127 178 69.5846 53.53 -3.06289
379 255 127 204 70.2622 56.0344 -16.5574
380 255 127 229 71.0171 58.7646 -29.2237
381 255 127 255 71.9095 61.9141 -42.0506
382 255 153 25 72.9867 33.6308 73.9403
383 255 153 51 73.0797 34.0587 66.341
384 255 153 76 73.2351 34.7699 56.0602
385 255 153 102 73.4745 35.857 43.6145
386 255 153 127 73.786 37.2574 30.8543
387 255 153 153 74.2 39.093 17.3023
388 255 153 178 74.6882 41.2226 4.28016
389 255 153 204 75.2924 43.807 -9.09672
390 255 153 229 75.9674 46.631 -21.721
391 255 153 255 76.7675 49.8969 -34.5605
392 255 178 25 78.5922 21.244 77.7554
393 255 178 51 78.6746 21.6731 71.0505
394 255 178 76 78.8122 22.387 61.6851
395 255 178 102 79.0243 23.4793 50.028
396 255 178 127 79.3006 24.8882 37.8276
397 255 178 153 79.6684 26.7385 24.6807
398 255 178 178 80.1028 28.8895 11.9162
399 255 178 204 80.6414 31.5064 -1.29592
400 255 178 229 81.2444 34.3735 -13.8373
401 255 178 255 81.961 37.699 -26.6512
402 255 204 25 84.79 8.42095 82.0902
403 255 204 51 84.8625 8.84408 76.1989
404 255 204 76 84.9838 9.54836 67.7317
405 255 204 102 85.1708 10.6272 56.9053
406 255 204 127 85.4147 12.0209 45.3314
407 255 204 153 85.7397 13.8546 32.6628
408 255 204 178 86.1241 15.9913 20.2211
409 255 204 204 86.6015 18.5976 7.23309
410 255 204 229 87.137 21.4616 -5.17615
411 255 204 255 87.7748 24.7942 -17.9204
412 255 229 25 90.9983 -3.58681 86.5245
413 255 229 51 91.0627 -3.17505 81.3064
414 255 229 76 91.1703 -2.48926 73.6318
415 255 229 102 91.3365 -1.43765 63.5873
416 255 229 127 91.5532 -0.077327 52.6372
417 255 229 153 91.8423 1.7157 40.4692
418 255 229 178 92.1846 3.80948 28.3826
419 255 229 204 92.6104 6.3698 15.6565
420 255 229 229 93.0887 9.19127 3.41668
421 255 229 255 93.6593 12.4845 -9.21948
422 255 255 25 97.6311 -15.5829 91.3391
423 255 255 51 97.6882 -15.187 86.719
424 255 255 76 97.7837 -14.5273 79.7872
425 255 255 102 97.9311 -13.5146 70.5185
426 255 255 127 98.1236 -12.2028 60.2205
427 255 255 153 98.3804 -10.4709 48.6002
428 255 255 178 98.6849 -8.44418 36.9193
429 255 255 204 99.064 -5.95977 24.5071
430 255 255 229 99.4905 -3.21433 12.4835
431 255 255 255 100 5.55112e-14 -2.22045e-14
432 25 255 25 87.9521 -78.0613 78.8958
433 25 255 51 88.0203 -77.3024 73.9158
434 25 255 76 88.1343 -76.0438 66.5375
435 25 255 102 88.3102 -74.1263 56.8067
436 25 255 127 88.5397 -71.6677 46.1299
437 25 255 153 88.8456 -68.4636 34.2068
438 25 255 178 89.2077 -64.7721 22.3213
439 25 255 204 89.6577 -60.3275 9.77604
440 25 255 229 90.163 -55.5132 -2.31019
441 25 255 255 90.7652 -49.9974 -14.8017
442 51 255 25 88.202 -75.9476 79.2222
443 51 255 51 88.2698 -75.2052 74.2515
444 51 255 76 88.3833 -73.9736 66.8845
445 51 255 102 88.5584 -72.0965 57.1652
446 51 255 127 88.7868 -69.6888 46.4974
447 51 255 153 89.0913 -66.549 34.5814
448 51 255 178 89.4517 -62.9292 22.7004
449 51 255 204 89.8997 -58.5675 10.1577
450 51 255 229 90.4026 -53.839 -1.92766
451 51 255 255 91.0022 -48.4167 -14.4198
452 76 255 25 88.6179 -72.5149 79.7649
453 76 255 51 88.6852 -71.7984 74.8096
454 76 255 76 88.7978 -70.6094 67.4614
455 76 255 102 88.9715 -68.7964 57.7612
456 76 255 127 89.1981 -66.469 47.1087
457 76 255 153 89.5002 -63.4313 35.2045
458 76 255 178 89.8579 -59.9253 23.3311
459 76 255 204 90.3024 -55.6956 10.7929
460 76 255 229 90.8016 -51.1038 -1.29105
461 76 255 255 91.3967 -45.8308 -13.7841
462 102 255 25 89.2549 -67.4496 80.5945
463 102 255 51 89.3214 -66.7698 75.6629
464 102 255 76 89.4326 -65.6411 68.3436
465 102 255 102 89.6043 -63.9186 58.6728
466 102 255 127 89.8282 -61.7053 48.044
467 102 255 153 90.1267 -58.8126 36.158
468 102 255 178 90.4802 -55.4689 24.2965
469 102 255 204 90.9196 -51.4278 11.7653
470 102 255 229 91.413 -47.0324 -0.316095
471 102 255 255 92.0014 -41.9745 -12.8103
472 127 255 25 90.0777 -61.2212 81.6634
473 127 255 51 90.1432 -60.5839 76.7624
474 127 255 76 90.2527 -59.5252 69.4807
475 127 255 102 90.4217 -57.9082 59.8481
476 127 255 127 90.6422 -55.8279 49.2501
477 127 255 153 90.9362 -53.1049 37.3882
478 127 255 178 91.2844 -49.9516 25.5424
479 127 255 204 91.7172 -46.1329 13.0208
480 127 255 229 92.2034 -41.9699 0.942993
481 127 255 255 92.7834 -37.1678 -11.5523
482 153 255 25 91.1603 -53.5047 83.0653
483 153 255 51 91.2245 -52.9165 78.2046
484 153 255 76 91.3318 -51.9386 70.9724
485 153 255 102 91.4974 -50.4437 61.3907
486 153 255 127 91.7136 -48.5177 50.8337
487 153 255 153 92.0018 -45.9923 39.0043
488 153 255 178 92.3431 -43.0618 27.1798
489 153 255 204 92.7676 -39.5042 14.6715
490 153 255 229 93.2446 -35.6157 2.59926
491 153 255 255 93.8136 -31.1172 -9.89665
492 178 255 25 92.4221 -45.1085 84.6927
493 178 255 51 92.4848 -44.5695 79.879
494 178 255 76 92.5897 -43.6728 72.7049
495 178 255 102 92.7515 -42.3006 63.183
496 178 255 127 92.9627 -40.5303 52.6748
497 178 255 153 93.2444 -38.205 40.8841
498 178 255 178 93.578 -35.5009 29.0856
499 178 255 204 93.993 -32.2102 16.5938
500 178 255 229 94.4595 -28.6036 4.52893
501 178 255 255 95.0162 -24.419 -7.96673
502 204 255 25 93.9622 -35.6056 86.6696
503 204 255 51 94.0231 -35.1174 81.9132
504 204 255 76 94.1251 -34.3048 74.8105
505 204 255 102 94.2824 -33.0599 65.3624
506 204 255 127 94.4878 -31.4515 54.915
507 204 255 153 94.7618 -29.335 43.1729
508 204 255 178 95.0864 -26.8683 31.4073
509 204 255 204 95.4903 -23.8588 18.9373
510 204 255 229 95.9444 -20.551 6.88281
511 204 255 255 96.4865 -16.701 -5.61109
512 229 255 25 95.6564 -25.9511 88.8328
513 229 255 51 95.7155 -25.5098 84.1394
514 229 255 76 95.8144 -24.7747 77.1154
515 229 255 102 95.967 -23.6475 67.7496
516 229 255 127 96.1663 -22.1893 57.3704
517 229 255 153 96.4322 -20.2671 45.6835
518 229 255 178 96.7472 -18.0223 33.9561
519 229 255 204 97.1394 -15.2771 21.5116
520 229 255 229 97.5804 -12.2515 9.4704
521 229 255 255 98.1071 -8.71952 -3.01978
522 25 25 255 31.7482 63.7148 -108.366
523 25 51 255 35.3027 53.6474 -102.439
524 25 76 255 40.3423 40.3004 -94.0873
525 25 102 255 46.7146 24.8907 -83.6191
526 25 127 255 53.4841 10.1493 -72.6225
527 25 153 255 60.8822 -4.28812 -60.7639
528 25 178 255 68.1634 -17.0525 -49.2678
529 25 204 255 75.8021 -29.1689 -37.4062
530 25 229 255 83.1519 -39.817 -26.1958
531 51 25 255 32.9071 64.6532 -106.397
532 51 51 255 36.3112 55.0164 -100.73
533 51 76 255 41.1824 42.0715 -92.6676
534 51 102 255 47.3954 26.9278 -82.4739
535 51 127 255 54.0403 12.2807 -71.6919
536 51 153 255 61.3374 -2.1831 -60.0072
537 51 178 255 68.5438 -15.0444 -48.6398
538 51 204 255 76.1222 -27.2977 -36.8818
539 51 229 255 83.4265 -38.089 -25.7494
540 76 25 255 34.7336 66.1825 -103.297
541 76 51 255 37.9182 57.1728 -98.0072
542 76 76 255 42.5366 44.8391 -90.3808
543 76 102 255 48.504 30.1256 -80.6104
544 76 127 255 54.9526 15.654 -70.1666
545 76 153 255 62.0882 1.1781 -58.7599
546 76 178 255 69.1734 -11.8135 -47.6008
547 76 204 255 76.6534 -24.2668 -36.012
548 76 229 255 83.883 -35.2751 -25.0076
549 102 25 255 37.3243 68.4437 -98.9047
550 102 51 255 40.2305 60.2282 -94.0953
551 102 76 255 44.5161 48.713 -87.0425
