CGATS.17
FORMAT_VERSION	2
Reference_sRGB_IEC_61966-2.1_Synthetic_XYZ_surface10
ICDM Workgroup 5 Color Volume & Accuracy 
by Karl Lang, Lumita, Inc.
CREATED Thursday, March 05, 2020
BEGIN_DATA_FORMAT
SampleID RGB_R RGB_G RGB_B LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 602
BEGIN_DATA
434 25 255 76 86.4901 -70.2527 66.9995
435 25 255 102 86.6233 -66.4503 56.6453
436 25 255 127 86.7972 -61.6178 45.409
437 25 255 153 87.0292 -55.387 32.9609
438 25 255 178 87.3043 -48.2951 20.6173
439 25 255 204 87.6467 -39.8679 7.62956
440 25 255 229 88.032 -30.8619 -4.86273
441 25 255 255 88.4923 -20.6811 -17.7676
442 51 255 25 86.5682 -72.0055 80.6539
443 51 255 51 86.6195 -70.5129 75.2231
444 51 255 76 86.7054 -68.0472 67.2799
445 51 255 102 86.8381 -64.314 56.9399
446 51 255 127 87.0112 -59.5663 45.7151
447 51 255 153 87.2423 -53.4398 33.276
448 51 255 178 87.5162 -46.4601 20.9386
449 51 255 204 87.8573 -38.1578 7.95518
450 51 255 229 88.241 -29.2759 -4.53462
451 51 255 255 88.6994 -19.2249 -17.4384
452 76 255 25 86.9278 -68.2967 81.076
453 76 255 51 86.9788 -66.85 75.6655
454 76 255 76 87.0641 -64.4587 67.7463
455 76 255 102 87.1958 -60.8353 57.4302
456 76 255 127 87.3678 -56.2222 46.2244
457 76 255 153 87.5973 -50.2617 33.8004
458 76 255 178 87.8693 -43.461 21.4735
459 76 255 204 88.2081 -35.3586 8.49735
460 76 255 229 88.5892 -26.6761 -3.98826
461 76 255 255 89.0446 -16.8341 -16.89
462 102 255 25 87.4793 -62.8168 81.7223
463 102 255 51 87.5297 -61.4349 76.3427
464 102 255 76 87.6141 -59.1492 68.4603
465 102 255 102 87.7444 -55.6817 58.1809
466 102 255 127 87.9146 -51.2606 47.0045
467 102 255 153 88.1417 -45.5374 34.6039
468 102 255 178 88.4109 -38.9938 22.2931
469 102 255 204 88.7462 -31.1799 9.32831
470 102 255 229 89.1234 -22.7863 -3.1507
471 102 255 255 89.5743 -13.2488 -16.0492
472 127 255 25 88.1928 -56.0657 82.5564
473 127 255 51 88.2425 -54.7594 77.2166
474 127 255 76 88.3258 -52.5967 69.3819
475 127 255 102 88.4543 -49.3117 59.1502
476 127 255 127 88.6222 -45.1159 48.012
477 127 255 153 88.8462 -39.6727 35.6419
478 127 255 178 89.1119 -33.434 23.3523
479 127 255 204 89.4427 -25.9641 10.4025
480 127 255 229 89.815 -17.9173 -2.06762
481 127 255 255 90.26 -8.74711 -14.9617
482 153 255 25 89.1335 -47.6811 83.6529
483 153 255 51 89.1824 -46.4623 78.3654
484 153 255 76 89.2641 -44.4427 70.5934
485 153 255 102 89.3904 -41.3703 60.4247
486 153 255 127 89.5553 -37.4382 49.3373
487 153 255 153 89.7754 -32.3246 37.0079
488 153 255 178 90.0364 -26.4468 24.7469
489 153 255 204 90.3615 -19.3868 11.8174
490 153 255 229 90.7275 -11.7561 -0.640525
491 153 255 255 91.165 -3.03003 -13.5281
492 178 255 25 90.2327 -38.5308 84.9294
493 178 255 51 90.2806 -37.4003 79.7024
494 178 255 76 90.3606 -35.5253 72.0036
495 178 255 102 90.4843 -32.6685 61.9088
496 178 255 127 90.6459 -29.0051 50.8812
497 178 255 153 90.8615 -24.2291 38.6002
498 178 255 178 91.1173 -18.7237 26.3733
499 178 255 204 91.4359 -12.0895 13.4684
500 178 255 229 91.7946 -4.89441 1.02544
501 178 255 255 92.2235 3.363 -11.8539
502 204 255 25 91.578 -28.1385 86.4849
503 204 255 51 91.6247 -27.1 81.3315
504 204 255 76 91.7028 -25.3759 73.7219
505 204 255 102 91.8234 -22.745 63.7178
506 204 255 127 91.981 -19.3644 52.7644
507 204 255 153 92.1914 -14.9457 40.5437
508 204 255 178 92.4409 -9.83688 28.3595
509 204 255 204 92.7518 -3.65979 15.4858
